"_id","resourceName","resourceCategory","currencyCode","unitOfMeasure","unitPrice","productName","flavor__id","flavor__name","flavor__code","flavor__osPlatform","flavor__cpu","flavor__ram","flavor__disk","reservations__term","reservations__price","tiers__category","tiers__minimumUnits","tiers__percentDiscount"
"","","","","","","","","","","","","","","1 Year","0.234","Partner","50","10.0"
"","","","","","","","","","","","","","","3 Years","0.208","Premium","100","15.0"
"661a9c634d1849198bac469545fd7cbd","cloudServer","computing","EUR","1 Hour","0.013","cloudServer","cfb3b8504a2744eea82a21af0e32de32","CSO1A2","22454b5b-d88b-4d3a-b1ee-6175c7fb3cbd","linux","1","2","20","1 Month","0.01235","Base","5","3.0"
"","","","","","","","","","","","","","","1 Year","0.0117","Partner","20","8.0"
"","","","","","","","","","","","","","","3 Years","0.0104","Premium","50","12.0"
"3667dbc8f48144fc8160364d45fdd21e","cloudServer","computing","EUR","1 Hour","0.02","cloudServer","d0449f8bc9b24318b3cc281af5fe5385","CSO1A4","18255a03-316a-439f-99d5-e0d378f04bb8","linux","1","4","40","1 Month","0.019","Base","5","3.0"
"","","","","","","","","","","","","","","1 Year","0.018","Partner","20","8.0"
"","","","","","","","","","","","","","","3 Years","0.016","Premium","50","12.0"
"6e8a460b7bb74400a0c6d5a26ed1e389","cloudServer","computing","EUR","1 Hour","0.28","cloudServer","8c4c91522c7f4ccd821ea44d5a50b0de","CSO24A48","a41df964-d645-45c0-8aa0-5b324f9765a4","linux","24","48","120","1 Month","0.266","Base","10","5.0"
"","","","","","","","","","","","","","","1 Year","0.252","Partner","50","10.0"
"","","","","","","","","","","","","","","3 Years","0.224","Premium","100","15.0"
"cffb72588b654719b53e22c1e05875a9","cloudServer","computing","EUR","1 Hour","0.026","cloudServer","8cfb1810fe3b44198a9f3a503148b0ea","CSO2A4","60e1a067-61fe-4fb8-b942-f2d77710aa9c","linux","2","4","40","1 Month","0.0247","Base","10","5.0"
"","","","","","","","","","","","","","","1 Year","0.0234","Partner","50","10.0"
"","","","","","","","","","","","","","","3 Years","0.0208","Premium","100","15.0"
"cf8f912b807842c7840c4e3737fe3b22","cloudServer","computing","EUR","1 Hour","0.04","cloudServer","81e3697d2ea1489bb48f95e0889ac498","CSO2A8","77af94e4-9b5e-4402-83af-f8cd272d085b","linux","2","8","80","1 Month","0.038","Base","10","5.0"
"","","","","","","","","","","","","","","1 Year","0.036","Partner","50","10.0"
"","","","","","","","","","","","","","","3 Years","0.032","Premium","100","15.0"
"88b8b065f3c646d2b3a270833126b0d2","cloudServer","computing","EUR","1 Hour","0.38","cloudServer","7dadf6d8190c4fc29a1706a65a0b492b","CSO32A64","4fdc15b0-832a-41d4-9a96-0c4d71ea5cb6","linux","32","64","120","1 Month","0.361","Base","10","5.0"
"","","","","","","","","","","","","","","1 Year","0.342","Partner","50","10.0"
"","","","","","","","","","","","","","","3 Years","0.304","Premium","100","15.0"
"a0fa3de53c594d5a83e992b4e580dbe9","cloudServer","computing","EUR","1 Hour","0.074","cloudServer","58da34aa7de24fab9686ac6d57d8c6d5","CSO4A16","6cb2e8cd-f182-4bb8-a56a-581c83e0770e","linux","4","16","120","1 Month","0.0703","Base","10","5.0"
"","","","","","","","","","","","","","","1 Year","0.0666","Partner","50","10.0"
"","","","","","","","","","","","","","","3 Years","0.0592","Premium","100","15.0"
"b0e479d3e4ce4f7299479ace1570730c","cloudServer","computing","EUR","1 Hour","0.05","cloudServer","d4772fcde0814a328e62b25dbb4dd996","CSO4A8","ee8e150d-9c47-4d0d-a4f5-34c6166051ed","linux","4","8","80","1 Month","0.0475","Base","5","3.0"
"","","","","","","","","","","","","","","1 Year","0.045","Partner","20","8.0"
"","","","","","","","","","","","","","","3 Years","0.04","Premium","50","12.0"
"598b8762eadf4433b0bb37eeccb40e65","cloudServer","computing","EUR","1 Hour","0.095","cloudServer","04655629aeae48c39bd0b74dc65304d8","CSO8A16","971bd15b-ab61-493d-a121-edd76cb87c14","linux","8","16","120","1 Month","0.09025","Base","5","3.0"
"","","","","","","","","","","","","","","1 Year","0.0855","Partner","20","8.0"
"","","","","","","","","","","","","","","3 Years","0.076","Premium","50","12.0"
"2a1390c3c20c411fbe15b05ad5e17a5b","cloudServer","computing","EUR","1 Hour","0.135","cloudServer","1d1edf672e224e6ab23d630e224e40cd","CSO8A32","7ab8792b-3547-44bb-a058-9109227dcde5","linux","8","32","120","1 Month","0.12825","Base","5","3.0"
"","","","","","","","","","","","","","","1 Year","0.1215","Partner","20","8.0"
"","","","","","","","","","","","","","","3 Years","0.108","Premium","50","12.0"
